STUDENT_ID,X1POVERTY,X1CONTROL,X1LOCALE,X1REGION,S2SEX,S2FRDROPOUT,S2EDUASP,S2EDUEXP,S2SUREBA,S2CLG2013,S2GOVLOAN,S2OCC30EARN,S2FAVSUBJ,S2CANTAFFORD,S2ACADEMIC,S2CANTSEND,S2HSJOBEVER,S2HSJOBHR,S3ANYCLGCRED,S3DUAL,S3APMATH,S3APSCIENCE,S3CNSLCLG,S3CLGINFLU,X1FAMINCOME,X3TGPATOT,X1RACE
10046,-8,Public,Rural,Northeast,Female,0,2,8,1,1,3,70000,2,2,0,-9,1,25,0,-7,-7,-7,1,5,-8,2.5,8
10047,-8,Public,Suburb,South,Male,0,5,8,2,1,3,-7,11,4,1,0,0,-7,-8,-8,-8,-8,-8,-8,-8,-8,-9
10048,-8,Public,Rural,South,Female,1,2,2,3,3,2,80000,7,2,0,1,1,36,0,-7,-7,-7,3,11,-8,2.5,8
10049,0,Private,City,West,Female,0,7,12,1,1,3,45000,6,3,0,-7,1,11,1,2,1,1,1,11,6,4,5
10050,1,Public,City,Northeast,Female,1,7,8,2,1,1,-9,13,2,0,0,0,-7,-4,-4,-4,-4,-4,-4,1,2,8
10052,-8,Public,City,South,Female,0,8,2,2,2,-7,-9,6,3,0,-7,0,-7,-8,-8,-8,-8,-8,-8,-8,2.5,8
10053,0,Public,Suburb,South,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,2,8
10054,0,Public,City,West,Female,1,6,10,1,1,3,45000,3,2,0,0,0,-7,1,2,0,0,1,3,3,2.5,6
10055,0,Public,Rural,Midwest,Male,0,6,10,1,1,3,100000,3,3,0,0,0,-7,1,2,1,1,1,10,7,3.5,2
10056,1,Public,Town,Midwest,Female,0,5,8,2,1,3,-9,11,3,0,-7,0,-7,-8,-8,-8,-8,-8,-8,1,2.5,8
10057,-8,Private,City,South,Female,0,8,13,-9,1,2,-9,13,3,0,0,0,-7,0,-7,-7,-7,1,4,-8,2,-9
10058,0,Private,Suburb,Northeast,Female,0,8,13,1,1,2,-7,11,3,1,0,0,-7,1,2,0,0,1,10,6,3,2
10059,-8,Public,Town,South,Male,0,7,12,2,1,2,100000,6,4,0,0,0,-7,1,2,1,0,3,10,-8,4,-9
10060,0,Public,Suburb,South,Male,0,8,13,1,1,2,-7,1,4,0,0,1,12,0,-7,-7,-7,1,12,7,2.5,5
10061,-8,Public,Suburb,Midwest,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-7,-7,-7,1,3,-8,3,2
10062,1,Public,Suburb,Midwest,Male,5,6,8,1,1,2,35000,12,3,0,0,0,-7,1,2,-7,-7,1,4,2,3,6
10063,-8,Public,Suburb,South,Male,1,6,8,1,1,1,-7,1,1,0,0,0,-7,-8,-8,-8,-8,-8,-8,-8,2.5,5
10064,0,Public,Suburb,Midwest,Female,0,4,6,2,1,3,35000,12,3,0,0,1,5,0,-7,-7,-7,1,4,4,3.5,8
10065,0,Public,Suburb,South,Female,1,4,6,3,1,1,-7,13,3,0,0,0,-7,0,-7,-7,-7,1,4,3,1.5,8
10066,0,Private,Town,Midwest,Male,0,3,3,4,1,3,-7,11,3,0,0,1,10,0,-7,-7,-7,2,10,5,2,8
10067,1,Public,Suburb,South,Male,0,6,10,2,1,1,80000,6,4,0,0,0,-7,1,2,1,1,1,4,1,3,2
10068,-8,Public,Rural,South,Female,0,4,6,3,1,2,-9,13,3,0,0,1,21,0,-7,-7,-7,2,4,-8,2.5,8
10069,0,Public,Suburb,Northeast,Male,0,7,13,1,1,2,200000,6,4,1,0,0,-7,1,2,1,1,1,4,13,3.5,2
10070,0,Private,Rural,South,Male,0,7,12,1,1,2,-7,3,4,0,0,1,11,1,2,0,1,1,3,13,3.5,8
10071,-8,Public,Town,Midwest,Female,0,6,13,2,1,3,-7,1,3,0,0,1,20,0,-7,-7,-7,3,6,-8,2,8
10072,1,Public,Suburb,West,Female,-9,6,10,2,1,3,-9,7,3,0,0,1,10,1,2,0,0,1,4,2,3,8
10074,0,Public,City,Midwest,Female,1,4,6,3,1,1,55000,-9,3,-9,-9,0,-7,-8,-8,-8,-8,-8,-8,5,1.5,6
10075,0,Public,City,South,Female,1,3,10,2,1,1,-7,1,3,0,0,1,10,0,-7,-7,-7,-7,12,3,3,8
10076,-8,Public,Suburb,West,Male,1,5,7,3,2,3,60000,6,2,0,-7,1,20,-8,-8,-8,-8,-8,-8,-8,1.5,-9
10077,0,Public,Rural,Midwest,Female,1,5,7,2,1,1,-7,4,2,0,1,0,-7,0,-7,-7,-7,1,10,3,2.5,8
10078,0,Public,City,West,Male,0,7,10,1,1,3,100000,11,4,0,0,0,-7,1,2,1,1,1,4,13,4,3
10079,0,Public,City,West,Female,1,2,4,3,2,2,80000,12,2,1,0,1,10,0,-7,-7,-7,3,11,5,2.5,6
10080,0,Public,City,South,Female,1,6,9,1,1,2,500000,6,4,0,0,1,4,0,-7,-7,-7,1,4,3,2.5,3
10081,-8,Private,City,Northeast,Female,0,7,13,1,1,3,-7,3,3,0,0,1,10,-8,-8,-8,-8,-8,-8,-8,2.5,-9
10082,-8,Public,Suburb,Midwest,Male,4,2,1,4,2,2,1000,8,1,0,0,1,25,-8,-8,-8,-8,-8,-8,-8,1.5,-9
10084,0,Public,Rural,West,Male,0,6,8,2,1,1,50000,7,3,0,0,0,-7,1,1,1,1,2,10,3,4,8
10085,-8,Public,Rural,Midwest,Male,0,5,8,2,1,1,-7,6,3,0,0,1,10,-8,-8,-8,-8,-8,-8,-8,2,8
10086,-8,Public,Suburb,South,Female,0,8,10,1,1,1,100000,4,3,0,0,0,-7,-4,-4,-4,-4,-4,-4,-8,-8,2
10087,1,Public,Rural,West,Male,0,7,8,2,1,1,60000,7,2,0,0,0,-7,1,2,-7,-7,1,6,1,2,6
10088,-8,Public,Town,South,Female,0,6,8,2,1,1,-7,11,2,0,0,0,-7,0,-7,-7,-7,1,12,-8,3.5,6
10089,0,Public,Rural,South,Male,-9,6,8,2,1,1,70000,11,3,0,0,1,18,0,-7,-7,-7,3,12,4,2,3
10090,1,Public,Suburb,South,Female,0,7,13,2,1,3,25000,2,2,0,1,1,16,1,1,0,1,1,4,1,3,6
10091,0,Public,Rural,South,Male,1,2,2,3,1,2,60000,13,1,0,-7,1,10,1,1,-7,-7,2,4,3,2.5,5
10092,-8,Public,City,Midwest,Male,5,8,1,4,2,-7,50000,6,2,-9,-7,0,-7,0,-7,-7,-7,-7,4,-8,1,8
10093,0,Public,Rural,South,Male,0,7,10,1,1,1,-9,-9,-9,0,0,0,-7,1,2,0,0,1,4,4,3,8
10094,0,Public,Suburb,Northeast,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-7,-7,-7,1,12,5,3.5,8
10095,0,Public,Rural,South,Female,0,7,12,1,1,2,500000,2,4,1,0,0,-7,0,-7,-7,-7,1,4,4,3,6
10096,0,Public,City,Midwest,Female,0,6,10,1,3,1,70000,12,2,0,-7,0,-7,1,1,-7,-7,1,10,5,-8,3
10097,0,Public,Suburb,Midwest,Female,0,6,10,1,1,2,40000,11,4,0,0,1,18,-4,-4,-4,-4,-4,-4,13,2.5,5
10099,0,Public,Suburb,West,Female,0,7,11,1,1,2,90000,3,3,1,0,0,-7,1,1,-7,-7,1,11,13,3.5,8
10100,0,Public,Suburb,South,Female,2,5,6,2,1,2,80000,7,4,0,0,1,15,0,-7,-7,-7,1,4,13,2,8
10101,-8,Public,Rural,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1.5,8
10102,0,Private,City,Northeast,Male,0,6,8,1,1,3,-7,11,3,1,0,1,26,0,-7,-7,-7,1,4,7,2,3
10103,0,Public,City,Midwest,Male,0,6,10,1,1,2,60000,6,3,0,0,0,-7,-8,-8,-8,-8,-8,-8,3,2.5,5
10104,-8,Public,Rural,South,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8
10105,0,Private,City,Northeast,Female,0,7,6,3,1,3,50000,3,4,0,0,1,12,1,2,0,1,1,10,7,3.5,8
10106,1,Public,Rural,South,Male,0,7,10,1,1,3,100000,10,3,0,0,1,13,1,3,-7,-7,3,12,1,3.5,3
10107,0,Public,Rural,South,Female,1,7,12,1,1,3,300000,6,3,0,0,0,-7,0,-7,-7,-7,1,4,7,3.5,3
10108,0,Public,Suburb,South,Female,0,6,10,1,1,3,-9,9,4,0,0,0,-7,1,-9,1,0,1,1,4,-8,6
10109,0,Public,Suburb,Midwest,Female,1,7,13,2,1,3,30000,13,3,0,0,0,-7,0,-7,-7,-7,2,4,5,2,6
10110,-8,Public,Rural,South,Female,0,5,8,2,1,2,-7,6,4,0,0,0,-7,0,-7,-7,-7,2,4,-8,3.5,8
10111,0,Public,City,Midwest,Male,2,2,1,4,2,-7,-7,10,1,0,1,0,-7,0,-7,-7,-7,-7,12,3,0.5,8
10112,0,Public,Rural,Northeast,Male,1,7,12,1,1,2,60000,5,2,1,0,1,5,1,1,1,1,1,4,8,4,2
10113,0,Public,Rural,Midwest,Male,0,7,6,2,1,1,45000,13,3,0,-7,0,-7,1,3,-7,-7,3,4,2,2.5,5
10114,0,Public,Rural,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,3,3,8
10115,0,Public,City,South,Male,0,6,10,2,1,1,-9,13,3,0,0,0,-7,-8,-8,-8,-8,-8,-8,7,3,8
10116,0,Public,Suburb,West,Male,0,7,10,-9,1,3,-9,-9,1,0,0,1,10,0,-7,-7,-7,2,10,2,2.5,5
10117,0,Public,Rural,Midwest,Female,0,7,12,1,1,3,-9,1,4,0,0,1,7,1,1,0,1,3,4,4,3.5,8
10118,0,Private,Suburb,South,Male,0,8,2,1,1,2,-7,3,2,0,0,1,6,1,2,1,1,1,4,3,-8,3
10119,0,Public,Town,Northeast,Male,2,6,1,4,3,-9,-9,-9,-9,-9,-9,-9,-9,0,-7,-7,-7,-7,11,2,1.5,8
10120,0,Public,Suburb,West,Male,0,6,8,1,1,3,70000,10,2,0,1,0,-7,0,-7,-7,-7,2,4,3,2.5,5
10121,1,Public,City,South,Male,1,7,6,1,1,2,95000,1,4,0,0,1,6,0,-7,-7,-7,-7,5,2,2,6
10122,-8,Public,Suburb,South,Female,0,7,12,1,1,1,95000,6,3,0,0,1,13,-8,-8,-8,-8,-8,-8,-8,3.5,2
10123,0,Public,Suburb,South,Male,0,3,4,3,1,2,85000,3,-9,0,1,1,5,-9,-9,-9,-9,2,10,4,2,8
10124,-8,Public,Suburb,South,Female,1,6,13,1,1,1,150000,9,3,0,0,1,15,0,-7,-7,-7,1,3,-8,3,8
10126,0,Public,Rural,South,Male,0,7,8,2,1,1,-7,4,4,0,0,0,-7,1,2,1,1,2,10,9,1.5,8
10127,0,Public,Suburb,South,Female,1,7,10,2,1,3,-7,5,3,0,0,0,-7,0,-7,-7,-7,3,4,4,-8,3
10128,0,Private,City,Northeast,Male,0,6,2,2,1,1,-7,11,2,1,0,1,9,1,2,0,0,1,4,2,-8,2
10129,0,Public,Rural,South,Male,0,6,8,2,1,3,100000,11,3,0,0,0,-7,1,2,0,1,1,4,5,3.5,6
10130,0,Public,Suburb,Midwest,Female,0,6,8,2,1,2,70000,-9,2,0,1,0,-7,0,-7,-7,-7,3,4,2,3.5,8
10131,0,Public,Suburb,West,Male,0,7,12,1,1,2,-7,3,-9,0,-7,1,4,1,2,1,1,1,10,6,4,5
10132,0,Public,Suburb,Midwest,Female,0,6,8,2,1,3,-7,11,3,0,0,1,10,0,-7,-7,-7,1,3,3,3.5,8
10133,1,Public,Suburb,Northeast,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-7,-7,-7,1,4,1,1,5
10135,0,Public,Suburb,South,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,1,8
10136,-8,Public,Suburb,South,Female,2,6,10,2,1,2,10000,4,1,0,1,1,50,0,-7,-7,-7,-7,10,-8,-8,8
10137,1,Public,Rural,South,Male,0,2,2,4,1,2,20000,13,2,0,1,1,30,0,-7,-7,-7,3,11,2,2,8
10138,1,Public,City,Northeast,Male,0,7,10,1,1,1,85000,6,2,0,1,0,-7,1,1,-7,-7,1,4,1,3,3
10139,-8,Public,Suburb,West,Male,5,4,2,3,3,-7,-7,4,2,0,0,0,-7,0,-7,-7,-7,2,4,-8,0.5,8
10140,0,Public,Suburb,Northeast,Female,1,5,7,1,1,3,60000,6,3,0,0,0,-7,-8,-8,-8,-8,-8,-8,2,0.25,5
10141,0,Public,Suburb,Midwest,Male,1,6,7,2,1,1,100000,3,3,0,0,1,35,0,-7,-7,-7,1,4,3,1,3
10142,-8,Public,City,South,Male,0,8,12,1,1,1,-7,13,1,0,1,0,-7,-8,-8,-8,-8,-8,-8,-8,0.5,4
10143,0,Public,Town,South,Male,0,8,13,2,3,3,1000,5,3,0,0,0,-7,1,2,0,1,1,4,5,3.5,2
10145,0,Public,Suburb,South,Male,0,7,12,1,1,1,100000,3,3,0,0,1,30,-8,-8,-8,-8,-8,-8,3,3,6
10146,0,Public,City,South,Female,3,3,4,2,1,1,50000,1,3,0,0,1,15,1,1,-7,-7,1,4,2,1,6
10147,0,Public,Town,Northeast,Male,1,3,4,3,3,3,100000,6,3,0,0,0,-7,0,-7,-7,-7,-7,11,5,2.5,8
10148,-8,Public,Suburb,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,5
10149,0,Public,Town,West,Male,0,6,8,2,1,2,-7,7,3,0,0,0,-7,-8,-8,-8,-8,-8,-8,7,3,8
10150,1,Private,City,South,Male,1,7,10,1,1,3,40000,3,3,0,0,1,20,-8,-8,-8,-8,-8,-8,2,3,8
10151,-8,Public,Suburb,Northeast,Female,1,1,2,4,3,-7,-7,-9,-9,0,-7,0,-7,-8,-8,-8,-8,-8,-8,-8,2,8
10153,0,Public,Rural,South,Male,1,6,10,1,1,2,-7,6,4,0,0,0,-7,1,2,1,1,1,4,5,-8,8
10154,0,Public,Town,South,Male,0,5,8,2,1,2,60000,11,2,0,0,0,-7,1,1,1,0,1,8,3,4,8
10155,0,Private,Town,West,Male,0,8,13,2,1,-7,100000,6,3,0,0,0,-7,1,2,1,0,1,4,2,3,5
10156,0,Public,Rural,South,Male,0,6,13,2,1,3,-7,-9,3,0,0,0,-7,0,-7,-7,-7,1,11,9,2.5,8
